id,name,summary,street,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_cleaned
11653496,Tourist Best Choice Penhouse Subway/Downtown,Renovated beachfront penthouse accommodating 6 people close to downtown Boston and historic landmarks. Conveniently located near subway Red line/South Station. Enjoy the beachfront sunshine on a private roof deck or just walk there in minutes!,"Vinton Street, Boston, MA 02127, United States",South Boston,42.33017748493645,-71.05234811016862,Condominium,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Street"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$330.00,9,2016-04-20,2016-08-03,96.0,10.0,10.0,10.0,10.0,9.0,9.0,330.0
9507164,West Broadway Quarters - hostel unit,"This new concept blends the privacy and independence of a furnished apartment with the value and ease of a hostel-style accommodation. Each room is private, with access to ind. bathrooms and shared kitchen/lounge facilities. Read on for more info.","West Broadway, Boston, MA 02127, United States",South Boston,42.34331686142798,-71.05738385459671,Other,Private room,2,6.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials}",$144.00,1,2016-06-19,2016-06-19,60.0,4.0,4.0,6.0,6.0,8.0,6.0,144.0
1887581,"2bdrm, Walk to Downtown, Waterfront","Newly renovated two bedroom apartment available close to Seaport, two blocks from convention center and one subway stop to South Station. Open deck, short walk to grocery store and restaurants, very close to airport and few blocks from major subway line. Minutes to Downtown, the heart of Boston and shopping.","West 3rd Street, Boston, MA 02127, United States",South Boston,42.3409830303676,-71.05023467583233,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$250.00,64,2013-11-19,2016-08-30,86.0,9.0,8.0,10.0,9.0,9.0,8.0,250.0
13586491,Quarters on Dot - hostel-style unit,The STRB Quarters™ on DOT were completed in June 2016. The STRB Quarters™ concept blends the privacy and independence of a furnished apartment with the value and ease of a hostel-style accommodation. This unique offering by STRB provides our guests with private sleeping rooms for 1 or 2 people and shared kitchen and laundry facilities. The shared bathrooms on each floor are single-occupancy only which provides an additional layer of privacy to our guests.,"Dorchester Street, Boston, MA 02127, United States",South Boston,42.33605903461718,-71.04592438249078,Other,Private room,2,5.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_50""}",$95.00,2,2016-07-05,2016-08-11,90.0,10.0,8.0,10.0,10.0,10.0,8.0,95.0
11767622,Tourist Best Choice Private Room Subway/Downtown,"Tourists/Conference-goers great choice! Private bedroom/bath in a renovated house close to downtown Boston, Boston Convention Center and tourist places; walk to subway Red line T 2 stops to South Station, 3 stops to Downtown Crossing and Park Street.","Vinton Street, Boston, MA 02127, United States",South Boston,42.33062832743692,-71.05314779730332,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Street"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$118.00,16,2016-03-20,2016-08-13,94.0,10.0,10.0,10.0,9.0,9.0,10.0,118.0
2412715,Perfect Seaport Location ,"Located in the new Seaport area, this new construction home offers every amenity! Ideally located blocks from the Convention Center where the runners take buses to the starting line.  Modern building with an elevator.  ","East 2nd Street, Boston, MA 02127, United States",South Boston,42.33794927260482,-71.04194174244199,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",$500.00,2,2014-04-24,2015-05-16,90.0,6.0,10.0,8.0,8.0,7.0,8.0,500.0
13028935,HUGE apartment in Southie,Guest bedroom that comfortably sleeps three/ uncomfortably sleeps up to five with futon and pull out mat. Two floor apartment with BEAUTIFUL view of Boston skyline from porch deck. Parking on street available as well as in lot across street on weekends/nights.,"West 7th Street, Boston, MA 02127, United States",South Boston,42.3312270868998,-71.05236964204438,Condominium,Entire home/apt,5,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$180.00,1,2016-07-05,2016-07-05,100.0,10.0,10.0,10.0,10.0,10.0,8.0,180.0
12998582,Spacious 2BR Brownstone in Central Southie,"Close to Southie's nightlife including Loco, Lincoln, Coppersmiths, Warden Hall, The Maiden etc. Walk to the beach; 1.5 mile to Seaport district, 0.8 mile walk to Broadway T stop (2 stops to Downtown Crossing). You'll have the entire apartment, free wifi, TV, HBO, surround sound, two huge bedrooms, tons of sofa space for additional guests. Good for couples, business travelers, families (with kids), big groups, and pets :)","West 5th Street, Boston, MA 02127, United States",South Boston,42.33445095138171,-71.04741151427503,Apartment,Entire home/apt,6,1.5,2.0,2.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",$290.00,1,2016-05-31,2016-05-31,100.0,10.0,10.0,10.0,10.0,10.0,10.0,290.0
5590505,1 bedroom Condo in South Boston,1 bedroom condo with one queen size bed on the Red Line and #9 bus route available to Marathon weekend. 1 mile from Broadway Station and 2 blocks from #9 bus. It is on the second floor of a 6 condo duplex.,"E Street, Boston, MA 02127, United States",South Boston,42.33713728852802,-71.05199220982796,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials}",$225.00,1,2015-04-21,2015-04-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0
13864415,"Comfy room (C) near T, convention center, downtown","This is a nice duplex in a good location.Recently renovated with central air/heat,close to broadway, numerous restaurants,coffee,pubs and all kinds of other stores. Walk 10 min. to redline T. One stop to south station, 3-4 stops to MIT and Harvard. Minutes walking to Convention center, Boston harbor,Quincy Market,Faneuil Hall,seaport, museums etc. Bus 9 takes you to prudential shopping mall. Its a nice and safe neighborhood. Good for couples,solo adventurers and business travelers, welcome!","D Street, Boston, MA 02127, United States",South Boston,42.33919400511304,-71.04967212701762,Townhouse,Private room,2,2.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Hot Tub"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$99.00,3,2016-07-16,2016-08-29,93.0,9.0,8.0,10.0,10.0,10.0,9.0,99.0
